"","X.","claim_status","video_id","video_duration_sec","video_transcription_text","verified_status","author_ban_status","video_view_count","video_like_count","video_share_count","video_download_count","video_comment_count","duration_category","engagement_rate","user_name","video_length","n_shares","n_comments","n_plays","hashtags","song"
"1",276,"claim",1913260809,31,"a friend mentioned someone revealed that the car radio was first introduced in 1922","not verified","active","708456",183100,"12592","884","253","Medium",0.258806474925754,"espn",23,3172,587,847400,"[]","original sound"
"2",276,"claim",1913260809,31,"a friend mentioned someone revealed that the car radio was first introduced in 1922","not verified","active","708456",183100,"12592","884","253","Medium",0.258806474925754,"jongmineyo",20,816,2254,877500,"[]","오리지널 사운드 - 종민오빠  Jongmin oppa"
"3",596,"claim",5664855012,27,"the news told me someone discovered that in a deck of cards, the king of hearts is the only king without a mustache","not verified","active","218127",60700,"18985","454","79","Medium",0.278640425073466,"cindy518c",7,300,1253,466800,"['cindy', 'kpop', 'foryou', '影子舞']","原聲 - Cindy👄"
"4",977,"claim",4272335550,19,"i told them an expert discovered that baby spiders are called spiderlings","not verified","active","676970",9137,"3462","76","23","Medium",0.0135308802458011,"smiley_vats01",15,96,80,114500,"['2kadum', 'danceindia']","ladki kadk hai tu"
"5",1551,"claim",8546624132,25,"a friend learned  online that your heart beats 100,000 times a day","not verified","active","47076",9948,"3942","92","28","Medium",0.211912651882063,"wianmagic",54,18,179,100800,"['fyp', 'foryou', 'tiktoksa']","original sound"
"6",1666,"claim",2855324394,6,"a friend learned  on an internet forum a claim that the longest recorded cricket match lasted 14 days","not verified","active","129645",70500,"1006","677","79","Short",0.544402020903236,"littlegloves",18,340,218,956300,"['you2', 'littlegloves', 'staypositive', 'thingstodo', 'madgang', 'funny', 'comedy']","original sound"
"7",1718,"claim",8267577903,53,"a friend learned  in the media that 90% of goods are shipped by ocean freight","not verified","active","706353",246500,"25101","3685","323","Medium",0.349432932259083,"larissamanoela",11,1178,999,2400000,"[]","som original"
"8",1718,"claim",8267577903,53,"a friend learned  in the media that 90% of goods are shipped by ocean freight","not verified","active","706353",246500,"25101","3685","323","Medium",0.349432932259083,"jeleniewska",9,681,4475,1500000,"[]","оригінальний звук"
"9",1767,"claim",8737601542,56,"a friend learned  in the media that the insect population of the world is 1 billion times more than the world population","not verified","active","372992",46800,"2347","674","415","Medium",0.126584484385724,"mohak.narang",12,141,1095,298300,"['mohKfam', 'Sohak']","original sound"
"10",1767,"claim",8737601542,56,"a friend learned  in the media that the insect population of the world is 1 billion times more than the world population","not verified","active","372992",46800,"2347","674","415","Medium",0.126584484385724,"guinnessworldrecords",15,178,286,462900,"['GWR2021', 'jumprope']","original sound"
"11",1844,"claim",1984440062,43,"a friend learned  on social media that there might be a huge planet in this solar system","not verified","active","217636",124800,"6221","13","3","Medium",0.57344832656362,"aashikabhatia",11,3339,693,1400000,"['suggestion2', 'foryou', 'fyp', 'trending']","Asal Mein × Shayad Sush and Yohan"
"12",2233,"claim",9367944331,22,"a friend learned  from the media a claim that the first electric vehicle was created in 1832","not verified","active","914987",424900,"149658","7355","1183","Medium",0.465671096966405,"avneetkaur_13",13,2114,1970,5300000,"['trending', 'foryou', 'terinaar']","original sound - Nikk"
"13",2233,"claim",9367944331,22,"a friend learned  from the media a claim that the first electric vehicle was created in 1832","not verified","active","914987",424900,"149658","7355","1183","Medium",0.465671096966405,"youneszarou",10,779,1506,3100000,"['yzfamily', 'tutorial', 'foryoupage', 'fürdich', 'fyp']","death bed (coffee for your head)"
