"id.x","create_time.x","user_name","hashtags.x","song.x","video_length.x","n_likes.x","n_shares.x","n_comments.x","n_plays.x","n_followers.x","n_total_likes.x","n_total_vids.x","duration_category","id.y","create_time.y","hashtags.y","song.y","video_length.y","n_likes.y","n_shares.y","n_comments.y","n_plays.y","n_followers.y","n_total_likes.y","n_total_vids.y"
6883556251200950272,1602702869,"mrbeast","[]","original sound",31,550700,415,9081,2600000,12600000,1.41e+08,129,"Medium",6883556251200950272,1602702869,"[]","original sound",31,550500,415,9076,2600000,12600000,1.41e+08,129
6882743622005966848,1602513707,"mrbeast","[]","original sound",37,598800,478,4353,2600000,12600000,1.41e+08,129,"Long",6883556251200950272,1602702869,"[]","original sound",31,550500,415,9076,2600000,12600000,1.41e+08,129
6882107489144328192,1602365550,"mrbeast","[]","original sound",7,679000,407,5076,3500000,12600000,1.41e+08,129,"Short",6883556251200950272,1602702869,"[]","original sound",31,550500,415,9076,2600000,12600000,1.41e+08,129
6882031459633319936,1602347862,"mrbeast","[]","original sound",13,427000,225,2716,2200000,12600000,1.41e+08,129,"Short",6883556251200950272,1602702869,"[]","original sound",31,550500,415,9076,2600000,12600000,1.41e+08,129
6880972803831532544,1602101360,"mrbeast","[]","original sound",9,488700,443,5121,2600000,12600000,1.41e+08,129,"Short",6883556251200950272,1602702869,"[]","original sound",31,550500,415,9076,2600000,12600000,1.41e+08,129
6880896780658084864,1602083684,"mrbeast","[]","original sound",15,1100000,2532,30500,5300000,12600000,1.41e+08,129,"Medium",6883556251200950272,1602702869,"[]","original sound",31,550500,415,9076,2600000,12600000,1.41e+08,129
6873549239952116736,1600372906,"mrbeast","[]","original sound",14,631600,993,8513,3500000,12600000,1.41e+08,129,"Short",6883556251200950272,1602702869,"[]","original sound",31,550500,415,9076,2600000,12600000,1.41e+08,129
6870562985920745472,1599677615,"mrbeast","[]","original sound",17,722500,885,6830,3600000,12600000,1.41e+08,129,"Medium",6883556251200950272,1602702869,"[]","original sound",31,550500,415,9076,2600000,12600000,1.41e+08,129
6864254820761585664,1598208873,"mrbeast","[]","Act 2: In the Hall of the Mountain King",15,1400000,1211,69600,7100000,12600000,1.41e+08,129,"Medium",6883556251200950272,1602702869,"[]","original sound",31,550500,415,9076,2600000,12600000,1.41e+08,129
6863902167015755776,1598126766,"mrbeast","[]","Act 2: In the Hall of the Mountain King",12,1500000,2932,1100000,10300000,12600000,1.41e+08,129,"Short",6883556251200950272,1602702869,"[]","original sound",31,550500,415,9076,2600000,12600000,1.41e+08,129
6861303802570476544,1597521785,"mrbeast","[]","original sound",13,424400,613,12000,2700000,12600000,1.41e+08,129,"Short",6883556251200950272,1602702869,"[]","original sound",31,550500,415,9076,2600000,12600000,1.41e+08,129
6861238160425256960,1597506503,"mrbeast","[]","original sound",8,936000,1084,7408,5900000,12600000,1.41e+08,129,"Short",6883556251200950272,1602702869,"[]","original sound",31,550500,415,9076,2600000,12600000,1.41e+08,129
6860932311467314176,1597435291,"mrbeast","[]","original sound",6,1700000,12600,17100,7900000,12600000,1.41e+08,129,"Short",6883556251200950272,1602702869,"[]","original sound",31,550500,415,9076,2600000,12600000,1.41e+08,129
6860862161514777600,1597418959,"mrbeast","[]","original sound",46,1200000,1851,80100,5800000,12600000,1.41e+08,129,"Long",6883556251200950272,1602702869,"[]","original sound",31,550500,415,9076,2600000,12600000,1.41e+08,129
6860560967714032640,1597348831,"mrbeast","[]","original sound",7,474900,631,6846,2800000,12600000,1.41e+08,129,"Short",6883556251200950272,1602702869,"[]","original sound",31,550500,415,9076,2600000,12600000,1.41e+08,129
6858710741252427776,1596918042,"mrbeast","[]","original sound",20,577900,58900,8838,5200000,12600000,1.41e+08,129,"Medium",6883556251200950272,1602702869,"[]","original sound",31,550500,415,9076,2600000,12600000,1.41e+08,129
6856408095413864448,1596381917,"mrbeast","[]","original sound",12,888000,1829,9695,4500000,12600000,1.41e+08,129,"Short",6883556251200950272,1602702869,"[]","original sound",31,550500,415,9076,2600000,12600000,1.41e+08,129
6856110852685271040,1596312708,"mrbeast","[]","original sound",9,864000,1583,7781,5200000,12600000,1.41e+08,129,"Short",6883556251200950272,1602702869,"[]","original sound",31,550500,415,9076,2600000,12600000,1.41e+08,129
6855010763086548992,1596056570,"mrbeast","[]","original sound",18,1200000,1402,9295,6500000,12600000,1.41e+08,129,"Medium",6883556251200950272,1602702869,"[]","original sound",31,550500,415,9076,2600000,12600000,1.41e+08,129
6853871816675429376,1595791388,"mrbeast","[]","original sound",18,1300000,1358,13600,6500000,12600000,1.41e+08,129,"Medium",6883556251200950272,1602702869,"[]","original sound",31,550500,415,9076,2600000,12600000,1.41e+08,129
6851992917385432064,1595353928,"mrbeast","[]","Trap Sax",10,2200000,3788,11600,15600000,12600000,1.41e+08,129,"Short",6883556251200950272,1602702869,"[]","original sound",31,550500,415,9076,2600000,12600000,1.41e+08,129
6851252392747371520,1595181506,"mrbeast","[]","Only Time",15,489200,579,5115,3000000,12600000,1.41e+08,129,"Medium",6883556251200950272,1602702869,"[]","original sound",31,550500,415,9076,2600000,12600000,1.41e+08,129
6850511584863865856,1595009024,"mrbeast","[]","Trap Sax",11,747400,1732,14900,4300000,12600000,1.41e+08,129,"Short",6883556251200950272,1602702869,"[]","original sound",31,550500,415,9076,2600000,12600000,1.41e+08,129
6850134682965774336,1594921269,"mrbeast","[]","Ocarina of Time - Kokiri Forest",18,2300000,7442,34600,16700000,12600000,1.41e+08,129,"Medium",6883556251200950272,1602702869,"[]","original sound",31,550500,415,9076,2600000,12600000,1.41e+08,129
6849400632244244480,1594750360,"mrbeast","[]","Le Festin - From ""Ratatouille""",15,967100,1165,9391,5600000,12600000,1.41e+08,129,"Medium",6883556251200950272,1602702869,"[]","original sound",31,550500,415,9076,2600000,12600000,1.41e+08,129
6889269907389762560,1604033216,"kyliejenner","[]","Power Rangers Dubstep Remix - Power Rangers Dubstep Remix",14,9200000,59100,64700,46900000,20100000,1.56e+08,49,"Short",6889269907389762560,1604033216,"[]","Power Rangers Dubstep Remix - Power Rangers Dubstep Remix",14,9200000,59100,64700,46800000,20100000,1.56e+08,49
6888395144429603840,1603829512,"kyliejenner","[]","Goodbye (feat. Lyse) [Slow Version]",5,3800000,8728,17300,22300000,20100000,1.56e+08,49,"Short",6889269907389762560,1604033216,"[]","Power Rangers Dubstep Remix - Power Rangers Dubstep Remix",14,9200000,59100,64700,46800000,20100000,1.56e+08,49
6882866536386727936,1602542287,"kyliejenner","[]","Bitter by Fletcher x Trevor Daniel",13,2800000,11200,12900,20000000,20100000,1.56e+08,49,"Short",6889269907389762560,1604033216,"[]","Power Rangers Dubstep Remix - Power Rangers Dubstep Remix",14,9200000,59100,64700,46800000,20100000,1.56e+08,49
